Cím	Studio	Rotten	Műfaj	Bevétel	Év
Dolphin Tale	Independent	84	Drama	95,41	2011
Don't Be Afraid Of The Dark	Miramax	59	Horror	36,99	2011
Dream House	Morgan Creek	7	Horror	38,5	2011
Drive	Independent	93	Thriller	76,17	2011
Drive Angry	Independent	45	Action	28,93	2011
Dylan Dog: Dead of Night	Independent	6	Horror	4,63	2011
Everything Must Go	Reliance	74	Drama	2,71	2011
Extremely Loud and Incredibly Close	Warner Bros	47	Drama	55,247	2011
Fast Five	Universal	78	Action	626,13	2011
Final Destination 5	New Line	61	Horror	157,89	2011
Footloose	Spyglass Entertainment	71	Drama	63,54	2011
Friends With Benefits	Warner Bros	71	Romance	149,54	2011
Fright Night	DreamWorks	75	Horror	41	2011
Gnomeo and Juliet	Disney	56	Animation	193,97	2011
Green Lantern	Warner Bros	27	Action	219,85	2011
Hall Pass	Warner Bros	35	Comedy	83,16	2011
Hanna	Universal	71	Action	63,78	2011
Happy Feet 2	Village Roadshow	41	Animation	150,41	2011
Harry Potter and the Deathly Hallows Part 2	Warner Bros	96	Fantasy	1341,51	2011
Hop	Relativity Media	26	Animation	183,95	2011
Horrible Bosses	Warner Bros	69	Comedy	209,64	2011
Hugo	Paramount	93	Adventure	185,769	2011
I Am Number Four	Paramount	32	Thriller	149,88	2011
Immortals	Relativity Media	36	Action	226,9	2011
In Time	Regency Enterprises	38	Thriller	173,93	2011
Insidious	Sony	67	Horror	97,01	2011
J.Edgar	Warner Bros	42	Drama	84,61	2011
Jack and Jill	Happy Madison	4	Comedy	149,68	2011
Johnny English Reborn	Relativity Media	38	Comedy	160,08	2011
Just Go With It	Happy Madison	19	Romance	214,95	2011
Killer Elite	Independent	25	Action	56,38	2011
Kung Fu Panda 2	DreamWorks	82	Animation	665,69	2011
Larry Crowne	Universal	34	Drama	72,01	2011
Limitless	Virgin	69	Thriller	161,85	2011
Machine Gun Preacher	Lionsgate	29	Action	1,1	2011
Margin Call	Independent	86	Thriller	19,5	2011
Mars Needs Moms	Disney	36	Animation	38,99	2011
Midnight in Paris	Sony	93	Romance	151,12	2011
Mission Impossible 4	Paramount	93	Action	694,71	2011
Moneyball	Columbia	95	Drama	110,2	2011
Monte Carlo	Fox	38	Romance	39,67	2011
Mr. Popper's Penguins	Fox	47	Comedy	187,36	2011
My Week with Marilyn	Weinstein	83	Drama	35,06	2011
New Year's Eve	Warner Bros	8	Romance	142,04	2011
No Strings Attached	Spyglass Entertainment	49	Comedy	149,23	2011
One Day	Independent	37	Romance	59,39	2011
Our Idiot Brother	Weinstein	68	Comedy	24,82	2011
Paranormal Activity 3	Independent	68	Horror	207,04	2011
Paul	Relativity Media	72	Comedy	97,98	2011
Pirates of the Caribbean:On Stranger Tides	Disney	34	Action	1045,71	2011
Priest	Sony	17	Action	78,31	2011
Puss In Boots	DreamWorks	83	Animation	554,99	2011
Rango	Paramount	88	Animation	245,72	2011
Real Steel	DreamWorks	58	Action	299,27	2011
Red Riding Hood	Warner Bros	11	Horror	89,16	2011
Red State	Independent	57	Horror	1,1	2011
Rio	Fox	71	Animation	484,63	2011
Rise of the Planet of the Apes	Fox	83	Action	481,74	2011
Sanctum	Relativity Media	30	Action	108,61	2011
Scream 4	Weinstein	58	Horror	97,14	2011
Season Of The Witch	Relativity Media	10	Action	91,63	2011
Shame	Independent	80	Drama	16,874	2011
Shark Night 3D	Relativity Media	16	Horror	40,14	2011
Sherlock Holmes 2	Warner Bros	60	Action	545,45	2011
Soul Surfer	Sony	46	Drama	47,09	2011
Source Code	Summit	92	Thriller	147,33	2011
Spy Kids: All The Time in the World	Weinstein	22	Action	85,56	2011
Sucker Punch	Legendary Pictures	23	Action	89,79	2011
Super 8	Paramount	82	Horror	260,1	2011
Take Me Home Tonight	Relativity Media	28	Comedy	6,93	2011
Take Shelter	Independent	92	Drama	3,13	2011
The Adjustment Bureau	Independent	72	Thriller	127,87	2011
The Adventures of Tintin	Paramount	74	Adventure	373,993	2011
The Artist	Weinstein	97	Drama	133,432	2011
The Beaver	Summit	62	Drama	6,37	2011
The Big Year	Independent	38	Comedy	7,45	2011
The Change Up	Relativity Media	24	Comedy	75,45	2011
The Company Men	Weinstein	66	Drama	4,88	2011
The Conspirator	Independent	56	Drama	15,48	2011
The Debt	Universal	76	Thriller	45,64	2011
The Descendants	Fox	89	Drama	177,24	2011
The Dilemma	Spyglass Entertainment	23	Comedy	69,72	2011
The Eagle	Universal	39	Action	27,12	2011
The Girl With The Dragon Tattoo	Sony	87	Thriller	232,161	2011
The Green Hornet	Columbia	44	Action	227,82	2011
The Hangover Part II	Legendary Pictures	35	Comedy	586,76	2011
The Help	DreamWorks	75	Drama	216,64	2011
The Ides of March	Columbia	85	Thriller	75,99	2011
The Iron Lady	Weinstein	53	Drama	114,955	2011
The Lincoln Lawyer	Lionsgate	84	Drama	75,01	2011
The Mechanic	Independent	53	Action	51,07	2011
The Muppets	Disney	97	Comedy	165,18	2011
The Rite	Warner Bros	20	Horror	96,05	2011
The Roommate	Independent	4	Horror	40,49	2011
The Rum Diary	Independent	50	Drama	23,95	2011
The Sitter	Fox	22	Comedy	34,941	2011
The Smurfs	Sony	23	Animation	563,75	2011
The Thing	Universal	36	Horror	27,43	2011
The Three Musketeers	Independent	24	Action	132,27	2011
The Tree Of Life	Independent	84	Drama	54,3	2011
Thor	Disney	77	Action	449,32	2011
Tinker Tailor Soldier Spy	Focus	83	Thriller	80,63	2011
Tower Heist	Relativity Media	68	Comedy	152,92	2011
Transformers: Dark of the Moon	DreamWorks	35	Action	1123,79	2011
Twilight: Breaking Dawn	Independent	26	Romance	712,17	2011
Unknown	Independent	55	Thriller	130,79	2011
War Horse	Disney	77	Drama	177,584	2011
Warrior	Lionsgate	83	Action	23,06	2011
Water For Elephants	Fox	60	Drama	117,09	2011
We Bought a Zoo	Fox	63	Comedy	120,081	2011
What's Your Number	Fox	24	Comedy	30,43	2011
Winnie The Pooh	Disney	91	Animation	33,15	2011
X-Men: First Class	Disney	87	Action	353,62	2011
Your Highness	Universal	26	Comedy	24,86	2011
Zookeeper	Happy Madison	14	Comedy	169,85	2011
